Name,Year,Runtime,Rating,Gross,Director
The Dark Knight Rises,2012,164 ,8.4,$448.14M,Christopher Nolan
Apocalypse Now,1979,147 ,8.5,$83.47M,Francis Ford Coppola
Rogue One,2016,133 ,7.8,$532.18M,Gareth Edwards
Drive,I) (2011,100 ,7.8,$35.06M,Nicolas Winding Refn
Full Metal Jacket,1987,116 ,8.3,$46.36M,Stanley Kubrick
Eternal Sunshine of the Spotless Mind,2004,108 ,8.3,$34.40M,Michel Gondry
Call Me by Your Name,2017,132 ,7.8,$18.10M,Luca Guadagnino
Moana,I) (2016,107 ,7.6,$248.76M,Ron Clements
Indiana Jones and the Last Crusade,1989,127 ,8.2,$197.17M,Steven Spielberg
Inside Man,2006,129 ,7.6,$88.51M,Spike Lee
Office Space,1999,89 ,7.6,$10.82M,Mike Judge
Jaws,1975,124 ,8.1,$260.00M,Steven Spielberg
2001: A Space Odyssey,1968,149 ,8.3,$56.95M,Stanley Kubrick
Deadpool 2,2018,119 ,7.6,$324.59M,David Leitch
Saving Private Ryan,1998,169 ,8.6,$216.54M,Steven Spielberg
The Pianist,2002,150 ,8.5,$32.57M,Roman Polanski
Donnie Darko,2001,113 ,8.0,$1.48M,Richard Kelly
Mulholland Dr.,2001,147 ,7.9,$7.22M,David Lynch
The Hobbit: An Unexpected Journey,2012,169 ,7.8,$303.00M,Peter Jackson
Logan,2017,137 ,8.1,$226.28M,James Mangold
Superbad,2007,113 ,7.6,$121.46M,Greg Mottola
The Fifth Element,1997,126 ,7.6,$63.54M,Luc Besson
The Avengers,2012,143 ,8.0,$623.28M,Joss Whedon
Memento,2000,113 ,8.4,$25.54M,Christopher Nolan
Unforgiven,1992,130 ,8.2,$101.16M,Clint Eastwood
All the President's Men,1976,138 ,7.9,$70.60M,Alan J. Pakula
Finding Nemo,2003,100 ,8.2,$380.84M,Andrew Stanton
Psycho,1960,109 ,8.5,$32.00M,Alfred Hitchcock
Catch Me If You Can,2002,141 ,8.1,$164.62M,Steven Spielberg
La La Land,2016,128 ,8.0,$151.10M,Damien Chazelle
Harry Potter and the Goblet of Fire,2005,157 ,7.7,$290.01M,Mike Newell
Jagten,2012,115 ,8.3,$0.69M,Thomas Vinterberg
Arrival,II) (2016,116 ,7.9,$100.55M,Denis Villeneuve
Rocky,1976,120 ,8.1,$117.24M,John G. Avildsen
The Terminator,1984,107 ,8.1,$38.40M,James Cameron
Green Book,2018,130 ,8.2,$85.08M,Peter Farrelly
Terminator 2: Judgment Day,1991,137 ,8.6,$204.84M,James Cameron
The Thing,1982,109 ,8.2,$13.78M,John Carpenter
Ah-ga-ssi,2016,145 ,8.1,$2.01M,Park Chan-wook
Idi i smotri,1985,142 ,8.4,#92,Elem Klimov
"Il buono, il brutto, il cattivo",1966,161 ,8.8,$6.10M,Sergio Leone
Cidade de Deus,2002,130 ,8.6,$7.56M,Fernando Meirelles
Sicario,2015,121 ,7.6,$46.89M,Denis Villeneuve
The Usual Suspects,1995,106 ,8.5,$23.34M,Bryan Singer
My Cousin Vinny,1992,120 ,7.6,$52.93M,Jonathan Lynn
Kill Bill: Vol. 1,2003,111 ,8.2,$70.10M,Quentin Tarantino
Man on Fire,2004,146 ,7.7,$77.91M,Tony Scott
Hamilton,2020,160 ,8.3,#107,Thomas Kail
The Bourne Identity,2002,119 ,7.9,$121.66M,Doug Liman
Harry Potter and the Deathly Hallows: Part 2,2011,130 ,8.1,$381.01M,David Yates
The Big Short,2015,130 ,7.8,$70.26M,Adam McKay
The Irishman,2019,209 ,7.8,$7.00M,Martin Scorsese
There Will Be Blood,2007,158 ,8.2,$40.22M,Paul Thomas Anderson
Hauru no ugoku shiro,2004,119 ,8.2,$4.71M,Hayao Miyazaki
Braveheart,1995,178 ,8.4,$75.60M,Mel Gibson
Boogie Nights,1997,155 ,7.9,$26.40M,Paul Thomas Anderson
300,2006,117 ,7.6,$210.61M,Zack Snyder
Coraline,2009,100 ,7.7,$75.29M,Henry Selick
Batman Begins,2005,140 ,8.2,$206.85M,Christopher Nolan
Casino,1995,178 ,8.2,$42.44M,Martin Scorsese
Ratatouille,2007,111 ,8.1,$206.45M,Brad Bird
Reservoir Dogs,1992,99 ,8.3,$2.83M,Quentin Tarantino
Mission: Impossible - Fallout,2018,147 ,7.7,$220.16M,Christopher McQuarrie
The Sixth Sense,1999,107 ,8.2,$293.51M,M. Night Shyamalan
Zootopia,2016,108 ,8.0,$341.27M,Byron Howard
Black Hawk Down,2001,144 ,7.7,$108.64M,Ridley Scott
Iron Man,2008,126 ,7.9,$318.41M,Jon Favreau
The Truman Show,1998,103 ,8.2,$125.62M,Peter Weir
Snatch,2000,104 ,8.2,$30.33M,Guy Ritchie
The Empire Strikes Back,1980,124 ,8.7,$290.48M,Irvin Kershner
American History X,1998,119 ,8.5,$6.72M,Tony Kaye
Casino Royale,2006,144 ,8.0,$167.45M,Martin Campbell
La vie d'Adèle,2013,180 ,7.7,$2.20M,Abdellatif Kechiche
Harry Potter and the Prisoner of Azkaban,2004,142 ,7.9,$249.36M,Alfonso Cuarón
Toy Story,1995,81 ,8.3,$191.80M,John Lasseter
Kingsman: The Secret Service,2014,129 ,7.7,$128.26M,Matthew Vaughn
Dunkirk,2017,106 ,7.8,$188.37M,Christopher Nolan
Shrek,2001,90 ,7.9,$267.67M,Andrew Adamson
Wind River,2017,107 ,7.7,$33.80M,Taylor Sheridan
Dead Poets Society,1989,128 ,8.1,$95.86M,Peter Weir
